,0,1,2
10437,Nate,Jones,(Andrew)
10445,Jim,Johnson,(Robert)
10452,Chris,Martin,(Riley)
10463,Luis,Garcia,(Amado)
10464,Carlos,Perez,(Eduardo)
10482,Matthew,Bowman,/ Matt Bowman
10510,Jose,Urena,(Miguel)
10524,Jaime,Garcia,(Omar)
10539,Caleb,Smith,(Anthony)
10555,John,Lamb,(Michael)
10571,Josh,Fields,(David)
10583,(Dennis),Ryan,Tepera
10611,Ian,Kennedy,(Patrick)
10618,Chris,Young,(Brandon)
10633,Chris,Martin,(Riley)
10660,Jose,Castillo,(Gregorio)
10661,Mike,Dunn,(Glen)
10668,Manuel,Pina,/ Manny Pina
10669,Ryan,Braun,(Joseph)
10674,(Christopher),Brian,Johnson
10676,Christian,Vazquez,(Rafael)
10677,Jakob,Junis,/ Jake Junis
10698,Ian,Kennedy,(Patrick)
10740,Lourdes,Gurriel,Jr.
10744,Eduardo,Rodriguez,(Jos̩)
10771,Carlos,Martinez,(Ernesto)
10794,Justin,Turner,(Matthew)
10843,Josh,Bell,(E.)
10866,Carlos,Martinez,(Ernesto)
10881,Lourdes,Gurriel,Jr.
10908,Daniel,Robertson,(Roger)
10911,Delino,DeShields,Jr.
10918,Lance,McCullers,Jr.
11002,(Ivan),Dereck,Rodriguez
11004,Austin,Davis,(Richard)
11013,Delino,DeShields,Jr.
11041,Tom,Milone,/ Tommy Milone
11043,Mariekson,Gregorius,/ Didi Gregorius
11051,Jose,Abreu,(Dariel)
11091,Gerald,Posey,/ Buster Posey
11094,Marco,Gonzales,(Elias)
11100,Brett,Anderson,(Franklin)
11110,Andrew,Miller,(Mark)
11130,Michael,Perez,(b. 1992-08-07)
11137,Pablo,Lopez,(Jose)
11175,Jose,Mujica,(Angel)
11431,Jose,Castillo,(Gregorio)
11443,Brett,Anderson,(Franklin)
11462,Carlos,Martinez,(Ernesto)
11464,Justin,Williams,(Paul)
11476,Matt,Olson,(Kent)
11483,Michael,Taylor,(Anthony)
11486,Miguel,Diaz,(Angel)
11488,Matt,Duffy,(Michael)
11490,Marco,Hernandez,(Antonio)
11498,Miguel,Hermosillo,/ Michael Hermosillo
11502,Joe,Smith,(Michael)
11503,Lance,McCullers,Jr.
11504,(Dennis),Ryan,Tepera
11518,Steven,Souza,Jr.
11521,Rich,Hill,(Joseph)
11526,Drew,Smith,(David)
11543,Jose,De,Leon (Eugenio)
11546,Ryan,Gennett,/ Scooter Gennett
11557,Mariekson,Gregorius,/ Didi Gregorius
11567,Giancarlo,Stanton,/ Mike Stanton (c)
11592,(Christopher),Brian,Johnson
11599,Tyler,Anderson,(John)
11606,Hyun,Jin,Ryu / Hyun-Jin Ryu
11608,Chasen,Bradford,/ Chase Bradford
11621,Justin,Miller,(Ryan)
11685,Justin,Wilson,(James)
11692,Todd,Smyly,/ Drew Smyly
11715,Jordan,Zimmermann,(M.)
11731,Ryan,Zimmerman,(Wallace)
11734,Nate,Jones,(Andrew)
11735,Ryan,Burr,(Matthew)
11746,Fernando,Tatis,Jr.
11753,Robert,Anderson,/ Chase Anderson
11773,Juan,Soto,(Jose)
11785,Anthony,Wingenter,/ Trey Wingenter
11805,Michael,Perez,(b. 1992-08-07)
11809,Gerald,Posey,/ Buster Posey
11827,Justin,Wilson,(James)
11842,Luis,Garcia,(Amado)
11845,Jung,Ho,Kang
11864,Manuel,Pina,/ Manny Pina
11874,Nelson,Cruz,(Ramon)
11881,Justin,Miller,(Ryan)
11889,Jacob,Lugo,/ Seth Lugo
11897,(Dennis),Ryan,Tepera
11898,Wilmer,Flores,(Alejandro)
11900,Dee,Strange-Gordon,/ Dee Gordon
11916,Tyler,Anderson,(John)
11949,Chris,Davis,(Lyn)
11969,Ryan,Burr,(Matthew)
11979,Hector,Velazquez,(b. 1988-11-26)
12004,Chasen,Bradford,/ Chase Bradford
12023,Gerald,Posey,/ Buster Posey
12031,D.J.,Stewart,(Demetrius Jerome)
12033,Mike,Dunn,(Glen)
12039,Caleb,Smith,(Anthony)
12040,Dwight,Smith,Jr.
12057,William,Davis,/ Rookie Davis
12081,Jose,Urena,(Miguel)
12087,Carl,Edwards,Jr. / C.J. Edwards
12100,Richard,Hembree,/ Heath Hembree
12142,Pablo,Lopez,(Jose)
12145,Hector,Velazquez,(b. 1988-11-26)
12153,Rich,Hill,(Joseph)
12157,Raul,Mondesi,(Adalberto) / Adalberto Mondesi
